360993#|[3611847]|[36065]|1974-06-21|1988-08-16|2013-09-27|1988-08-16|no|||||no||||||||||||||34
361208#|[3610111880]|[36101]|1975-01-10|1984-12-18|1991-05-15|1984-12-18|no|||||no||||||||||||||1
360570A|[3606711913]|[36067]|1974-09-06|1981-06-15|2016-11-04|1981-06-15|no|||||yes|360570|1996-10-01|2001-10-01|10|0|0|R|||||||55
360571A|[3611902]|[36067]|1976-07-30|1981-08-03|2016-11-04|1981-08-03|no|||||no||||||||||||||55
360768#|[3610111946]|[36101]|1974-05-31|1980-09-17|1982-06-11|1980-09-17|no|||yes||no||||||||||||||1
361313#|[3602112056]|[36021]|1974-11-01|1985-07-03|1985-07-03|1985-07-03|no|||||no||||||||||||||51
361297#|[3606912100]|[36069]|1974-11-08|1984-05-15|1984-05-15|1984-05-15|no|||||no||||||||||||||26
360442A|[3605712122]|[36057]|1974-05-03|1983-01-06|2018-01-19|1983-01-06|no|||||no||||||||||||||31
360443A|[3612111]|[36057]|1974-02-22|1982-11-03|2018-01-19|1982-11-03|no|||||no||||||||||||||31
360597#|[3606912144]|[36069]|1974-03-08|1981-04-01|1982-09-24|1981-04-01|no|||yes|Bronze Certified|yes|360597|2016-10-01|2016-10-01|8|10|5|C|||||||26
360598#|[3606912155]|[36069]|1974-06-28|1978-04-17|1997-03-03|1978-04-17|no|||yes||no||||||||||||||26
360027|[3612177]|[36003]|1974-05-10|1976-03-26|1983-12-02|1983-12-02|no|||||no||||||||||||||2
360393#|['CANASTOTA , VILLAGE OF']|[36053]|1974-03-29|1985-05-01|1988-04-15|1985-05-01|no|||||no||||||||||||||22
360833#|[3610712221]|[36107]|1974-08-02|1986-08-19|2012-04-17|1986-08-19|no|||||no||||||||||||||37
360834#|[3612210]|[36107]|1974-05-31|1991-10-01|2012-04-17|1991-10-01|no|||||no||||||||||||||37
360028#|[3600312243]|[36003]|1974-05-31|1982-08-20|1982-08-20|1982-08-20|no|||||no||||||||||||||2
360769#|[3610112265]|[36101]|1974-12-20|1984-12-18|1984-12-18|1984-12-18|no|||||no||||||||||||||1
360770|[3612254]|[36101]|1974-12-20|1979-05-18|1979-05-18|1979-05-18|no|||||no||||||||||||||1
361172#|[3608912342]|[36089]|1974-11-22|1993-06-02|1998-08-17|1984-12-19|no|||||no||||||||||||||7
360697#|[3612331]|[36089]|1974-08-16|1985-05-01|1994-05-02|1985-05-01|no|||yes||no||||||||||||||7
361062|[3604512364]|[36045]|1976-02-13|1988-01-01|1992-06-02|1988-01-01|no|||||no||||||||||||||19
361574|[3612353]|[36045]|1976-05-21|1985-04-17|1985-04-17|1985-04-17|no|||||no||||||||||||||19
361193#|[3609512452]|[36095]|1974-09-20|1988-09-01|2004-04-02|1988-09-01|no|||||no||||||||||||||39
360642#|[3607312496]|[36073]|1974-08-02|1978-11-01|1978-11-01|1978-11-01|no|||||no||||||||||||||33
360669#|[3607912529]|[36079]|1974-09-13|1987-06-18|2013-03-04|1987-06-18|no|||||no||||||||||||||30
361129|[3603512573]|[36035]|1974-11-08|1985-07-18|1985-07-18|1985-07-18|no|||||no||||||||||||||56
360843|[3610912606]|[36109]|1974-09-06|1985-06-19|1985-06-19|1985-06-19|no|||yes|Bronze Certified|no||||||||||||||13
360994#|[3601312639]|[36013]|1974-09-20|1982-10-29|1982-10-29|1982-10-29|no|||||no||||||||||||||52
360063|[3600912661]|[36009]|1974-09-20|1983-03-18|1983-03-18|1983-03-18|no|||||no||||||||||||||35
360995#|[3612683]|[36045]|1974-05-10|1986-01-03|1991-06-17|1986-01-03|no|||||no||||||||||||||19
361053#|[3612749]|[36013]|1974-05-31|1977-12-01|1977-12-01|1977-12-01|no|||||no||||||||||||||52
361243|[3612112782]|[36121]|1974-12-27|1983-12-23|1983-12-23|1983-12-23|no|||||no||||||||||||||49
361563|[3612771]|[36121]|1975-02-28|1982-05-28|1982-05-28|1982-05-28|no|||||no||||||||||||||49
360673#|[3612870]|[36083]|1974-03-01|1984-11-15|1984-11-15|1984-11-15|no|||||no||||||||||||||41
360359|[3612881]|[36049]|1976-03-26|||1976-09-30|no|||||no||||||||||||||25
360745|[3609712914]|[36097]|1974-05-31|1984-04-20|1984-04-20|1984-04-20|no|||||no||||||||||||||6
361055|[3601512947]|[36015]|1974-08-02|1984-06-22|1984-06-22|1984-06-22|no|||||yes|3601055|1991-10-01|1997-10-01|10|0|0|R|||||||48
360105#|[3601112969]|[36011]|1974-08-02|1979-06-22|2007-08-02|1979-06-22|no|||||no||||||||||||||15
360106#|[3612958]|[36011]|1974-06-14|1980-08-08|2007-08-02|1980-08-08|no|||||no||||||||||||||15
361539#|[3610112991]|[36101]|1978-03-17|1984-03-23|1984-03-23|1984-03-23|no|||||no||||||||||||||1
361116#|[3603913013]|[36039]|1974-12-27|1990-02-16|2008-05-16|1990-02-16|no|||||no||||||||||||||16
360287#|[3613002]|[36039]|1974-03-01|1989-09-06|2008-05-16|1989-09-06|no|||||no||||||||||||||16
361367|[3613024]|[36009]|1975-02-21|1984-04-20|1984-04-20|1984-04-20|no|||||no||||||||||||||35
361594|[3613079]|[36109]||||1983-01-31|no|||yes||no||||||||||||||13
360107#|[3613068]|[36011]|1974-01-09|1977-07-05|2007-08-02|1977-07-05|no|||||no||||||||||||||15
361203|[3609713112]|[36097]|1974-11-15|1984-09-24|1984-09-24|1984-09-24|no|||||no||||||||||||||6
361290#|[3605313156]|[36053]|1974-11-22|1985-06-19|1985-06-19|1985-06-19|no|||yes||no||||||||||||||22
360394#|[3613145]|[36053]|1974-02-22|1985-06-19|1985-06-19|1985-06-19|no|||yes||no||||||||||||||22
360460#|[3613233]|[36059]|1976-04-02|1983-09-01|2009-09-11|1983-09-01|no|||||no||||||||||||||21
360135#|[3613288]|[36013]|1974-02-15|1980-03-18|1980-03-18|1980-03-18|no|||||no||||||||||||||52
360647#|[3613585]|[36075]|1974-05-17|2013-06-18||1985-11-20|no|||||no||||||||||||||4
