county_geo,geoid,name
36023,3602341300,"LAPEER, TOWN OF"
36023,3602345403,"MARATHON, TOWN OF"
36023,3645392,"MARATHON, VILLAGE OF"
36023,3644193,"MCGRAW, VILLAGE OF"
36023,3649242,"MUNSONS CORNERS, VILLAGE OF"
36023,3602359773,"PREBLE, TOWN OF"
36023,3602365915,"SCOTT, TOWN OF"
36023,3602368264,"SOLON, TOWN OF"
36023,3602373220,"TAYLOR, TOWN OF"
36023,3602375550,"TRUXTON, TOWN OF"
36023,3602377596,"VIRGIL, TOWN OF"
36023,3677585,"VIRGIL, VILLAGE OF"
36023,3602381963,"WILLET, TOWN OF"
36025,3602502132,"ANDES, TOWN OF"
36025,3602121,"ANDES, VILLAGE OF"
36025,3607025,"BLOOMVILLE, VILLAGE OF"
36025,3602507597,"BOVINA, TOWN OF"
36025,3602516793,"COLCHESTER, TOWN OF"
36025,3619774,"DAVENPORT CENTER, VILLAGE OF"
36025,3602519763,"DAVENPORT, TOWN OF"
36025,36025,DELAWARE COUNTY
36025,3602520137,"DELHI, TOWN OF"
36025,3620126,"DELHI, VILLAGE OF"
36025,3602520357,"DEPOSIT, TOWN OF"
36025,3620346,"DEPOSIT, VILLAGE OF"
36025,3620852,"DOWNSVILLE, VILLAGE OF"
36025,3626209,"FLEISCHMANNS, VILLAGE OF"
36025,3602527232,"FRANKLIN, TOWN OF"
36025,3627221,"FRANKLIN, VILLAGE OF"
36025,3602531698,"HAMDEN, TOWN OF"
36025,3602531951,"HANCOCK, TOWN OF"
36025,3631940,"HANCOCK, VILLAGE OF"
36025,3602532281,"HARPERSFIELD, TOWN OF"
36025,3634979,"HOBART, VILLAGE OF"
36025,3602540068,"KORTRIGHT, TOWN OF"
36025,3645557,"MARGARETVILLE, VILLAGE OF"
36025,3602545964,"MASONVILLE, TOWN OF"
36025,3602546624,"MEREDITH, TOWN OF"
36025,3602547031,"MIDDLETOWN, TOWN OF"
36025,3659740,"PRATTSVILLE, VILLAGE OF"
36025,3663583,"ROSCOE, VILLAGE OF"
36025,3602564001,"ROXBURY, TOWN OF"
36025,3602567345,"SIDNEY, TOWN OF"
36025,3667334,"SIDNEY, VILLAGE OF"
36025,3602570629,"STAMFORD, TOWN OF"
36025,3670618,"STAMFORD, VILLAGE OF"
36025,3602574111,"TOMPKINS, TOWN OF"
36025,3676001,"UNADILLA, VILLAGE OF"
36025,3602578047,"WALTON, TOWN OF"
36025,3678036,"WALTON, VILLAGE OF"
36027,3602701693,"AMENIA, TOWN OF"
36027,3601682,"AMENIA, VILLAGE OF"
36027,3602616,"ARLINGTON, VILLAGE OF"
36027,3602705100,"BEACON, CITY OF"
36027,3605100,"BEACON, VILLAGE OF"
36027,3602705452,"BEEKMAN, TOWN OF"
36027,3608334,"BRINCKERHOFF, VILLAGE OF"
36027,3602716408,"CLINTON, TOWN OF"
36027,3619229,"CROWN HEIGHTS, VILLAGE OF"
36027,3620841,"DOVER PLAINS, VILLAGE OF"
36027,3602720819,"DOVER, TOWN OF"
36027,36027,DUTCHESS COUNTY
36027,3602721996,"EAST FISHKILL, TOWN OF"
36027,3625109,"FAIRVIEW, VILLAGE OF"
36027,3602725978,"FISHKILL, TOWN OF"
36027,3625967,"FISHKILL, VILLAGE OF"
36027,3627452,"FREEDOM PLAINS, VILLAGE OF"
36027,3629014,"GLASCO, VILLAGE OF"
36027,3632776,"HAVILAND, VILLAGE OF"
36027,3634484,"HIGHLAND, VILLAGE OF"
36027,3634803,"HILLSIDE LAKE, VILLAGE OF"
36027,3635573,"HOPEWELL JUNCTION, VILLAGE OF"
36027,3602737209,"HYDE PARK, TOWN OF"
36027,3637198,"HYDE PARK, VILLAGE OF"
36027,3639727,"KINGSTON, VILLAGE OF"
36027,3602740299,"LA GRANGE, TOWN OF"
36027,3645700,"MARLBORO, VILLAGE OF"
36027,3646750,"MERRITT PARK, VILLAGE OF"
36027,3602747207,"MILAN, TOWN OF"
36027,3647273,"MILLBROOK, VILLAGE OF"
36027,3647361,"MILLERTON, VILLAGE OF"
36027,3649363,"MYERS CORNER, VILLAGE OF"
36027,3650034,"NEWBURGH, VILLAGE OF"
36027,3602751891,"NORTH EAST, TOWN OF"
36027,3602756825,"PAWLING, TOWN OF"
36027,3656814,"PAWLING, VILLAGE OF"
36027,3602758156,"PINE PLAINS, TOWN OF"
36027,3658145,"PINE PLAINS, VILLAGE OF"
36027,3602758695,"PLEASANT VALLEY, TOWN OF"
36027,3658684,"PLEASANT VALLEY, VILLAGE OF"
36027,3659311,"PORT EWEN, VILLAGE OF"
36027,3602759641,"POUGHKEEPSIE, CITY OF"
36027,3602759652,"POUGHKEEPSIE, TOWN OF"
36027,3659641,"POUGHKEEPSIE, VILLAGE OF"
36027,3602760905,"RED HOOK, TOWN OF"
36027,3660895,"RED HOOK, VILLAGE OF"
36027,3660983,"RED OAKS MILL, VILLAGE OF"
36027,3602761357,"RHINEBECK, TOWN OF"
36027,3661346,"RHINEBECK, VILLAGE OF"
36027,3661368,"RHINECLIFF, VILLAGE OF"
36027,3664892,"SALT POINT, VILLAGE OF"
36027,3665310,"SAUGERTIES SOUTH, VILLAGE OF"
36027,3665288,"SAUGERTIES, VILLAGE OF"
36027,3670035,"SPACKENKILL, VILLAGE OF"
36027,3670552,"STAATSBURG, VILLAGE OF"
36027,3602770662,"STANFORD, TOWN OF"
36027,3674017,"TITUSVILLE, VILLAGE OF"
36027,3674023,"TIVOLI, VILLAGE OF"
36027,3602776166,"UNION VALE, TOWN OF"
36027,3678168,"WAPPINGERS FALLS, VILLAGE OF"
36027,3602778157,"WAPPINGER, TOWN OF"
36027,3602778388,"WASHINGTON, TOWN OF"
36029,3600441,"AKRON, VILLAGE OF"
36029,3602901099,"ALDEN, TOWN OF"
36029,3601088,"ALDEN, VILLAGE OF"
36029,3602902000,"AMHERST, TOWN OF"
36029,3602220,"ANGOLA ON THE LAKE, VILLAGE OF"
36029,3602198,"ANGOLA, VILLAGE OF"
36029,3602903199,"AURORA, TOWN OF"
36029,3606574,"BILLINGTON HEIGHTS, VILLAGE OF"
36029,3606849,"BLASDELL, VILLAGE OF"
36029,3602907454,"BOSTON, TOWN OF"
36029,3602907894,"BRANT, TOWN OF"
36029,3602911000,"BUFFALO, CITY OF"
36029,3611000,"BUFFALO, VILLAGE OF"
36029,3602913035,"CATTARAUGUS, TOWN OF"
36029,3602915011,"CHEEKTOWAGA, TOWN OF"
36029,3615000,"CHEEKTOWAGA, VILLAGE OF"
36029,3615836,"CLARENCE CENTER, VILLAGE OF"
36029,3602915825,"CLARENCE, TOWN OF"
36029,3615814,"CLARENCE, VILLAGE OF"
36029,3602916870,"COLDEN, TOWN OF"
36029,3602917200,"COLLINS, TOWN OF"
36029,3602917585,"CONCORD, TOWN OF"
36029,3602900000,"COUNTY SUBDIVISIONS NOT DEFINED, TOWN OF"
36029,3620313,"DEPEW, VILLAGE OF"
